,,,,,,,,,,,,,,,,,,
,Park,Unit Code,Park Type,Region,State,Year,Month,Recreation Visits,Non-Recreation Visits,Recreation Hours,Non-Recreation Hours,"Concessioner
Lodging","Concessioner
Camping",Tent Campers,RV Campers,Backcountry Campers,Non-Recreation Overnight Stays,Misc. Overnight Stays
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,1,"11,974",600,"79,026",600,0,0,0,0,0,0,0
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,2,"12,167",600,"80,301",600,0,0,0,0,0,0,0
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,3,"23,756",600,"156,790",600,0,0,0,0,0,0,0
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,4,"72,858",600,"421,428",600,0,0,0,0,0,0,0
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,5,"249,050","7,500","1,854,392","7,500",0,25,"11,325","3,912",126,0,815
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,6,"499,163","7,500","3,861,197","7,500",0,296,"25,626","10,479",323,0,"2,490"
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,7,"759,165","7,500","5,119,628","7,500",0,188,"37,218","12,723",345,0,"3,286"
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,8,"767,219","7,500","5,175,840","7,500",0,370,"37,923","12,579",345,0,"3,134"
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,9,"600,397","7,500","3,885,466","7,500",0,485,"25,128","14,097",271,0,"1,542"
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,10,"488,204","6,000","2,657,950","6,000",0,0,"7,524","4,425",62,0,431
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,11,"40,930",600,"245,582",600,0,0,0,0,0,0,0
,Acadia NP,ACAD,National Park,Northeast ,ME,2018,12,"12,692",600,"76,154",600,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,1,"1,172",0,"1,172",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,2,"2,067",0,"2,067",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,3,"1,569",0,"1,569",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,4,"2,781",0,"2,579",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,5,"6,335",0,"4,077",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,6,"6,432",0,"4,081",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,7,"6,146",0,"3,922",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,8,"4,031",0,"2,613",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,9,"3,527",0,"2,257",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,10,"8,190",0,"5,415",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,11,"1,856",0,"1,856",0,0,0,0,0,0,0,0
,African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2018,12,929,0,929,0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,1,76,0,141,0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,2,96,0,200,0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,3,426,0,955,0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,4,428,0,942,0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,5,"1,876",0,"5,008",0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,6,"3,174",0,"7,668",0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,7,"4,192",0,"9,686",0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,8,"2,459",0,"6,246",0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,9,"2,249",0,"5,281",0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,10,983,0,"2,133",0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,11,224,0,512,0,0,0,0,0,0,0,0
,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2018,12,55,0,112,0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,1,206,0,515,0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,2,222,0,555,0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,3,787,0,"1,968",0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,4,723,0,"1,808",0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,5,836,0,"2,090",0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,6,814,0,"2,035",0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,7,695,0,"1,738",0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,8,870,0,"2,175",0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,9,762,0,"1,905",0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,10,900,0,"2,250",0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,11,400,0,"1,000",0,0,0,0,0,0,0,0
,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2018,12,200,0,500,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2018,1,0,0,0,0,0,0,0,0,0,0,0
