,,,,,,,,
,Park,Unit Code,Park Type,Region,Traffic Counter,Year,Month,Traffic Count
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,1,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,2,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,3,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,4,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,5,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,6,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,7,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,8,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,9,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,10,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,11,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2019,12,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,1,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,2,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,3,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,4,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,5,"4,996"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,6,"13,501"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,7,"18,359"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,8,"16,050"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,9,"6,211"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,10,"1,421"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,11,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2019,12,0
