,,,,,
,Park,Traffic Counter,Year,Month,Traffic Count
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,1,309
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,2,506
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,3,811
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,4,"1,083"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,5,"1,456"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,6,"1,023"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,7,"1,193"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,8,"1,330"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,9,"1,681"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,10,"1,116"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,11,"1,119"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT PICNIC PARKING LOT,2019,12,489
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,1,"2,576"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,2,"2,713"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,3,"4,490"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,4,"9,300"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,5,"28,645"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,6,"52,604"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,7,"75,831"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,8,"76,602"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,9,"62,366"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,10,"47,341"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,11,"5,195"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2018,12,"2,859"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,1,"1,620"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,2,"1,876"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,3,"3,673"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,4,"8,625"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,5,"25,714"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,6,"51,944"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,7,"75,628"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,8,"75,542"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,9,"60,667"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,10,"47,346"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,11,"5,951"
,Acadia NP,TRAFFIC COUNT AT SAND BEACH,2019,12,"2,907"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,1,"1,950"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,2,"1,800"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,3,"2,600"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,4,"3,300"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,5,"8,144"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,6,"15,733"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,7,"23,940"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,8,"23,940"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,9,"16,062"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,10,"10,168"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,11,"2,750"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2018,12,"1,800"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,1,"1,950"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,2,"1,800"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,3,"2,600"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,4,"3,300"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,5,"7,453"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,6,"14,872"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,7,"23,171"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,8,"23,884"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,9,"18,807"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,10,"11,517"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,11,"2,750"
,Acadia NP,TRAFFIC COUNT AT SCHOODIC,2019,12,"1,800"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,1,"1,811"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,2,"1,960"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,3,"1,753"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,4,"2,317"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,5,"2,391"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,6,"2,409"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,7,"2,593"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,8,"2,376"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,9,"2,237"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,10,"2,152"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,11,"2,040"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2018,12,"1,779"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,1,"1,779"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,2,"1,690"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,3,"1,662"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,4,"2,231"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,5,"2,314"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,6,"2,493"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,7,"2,317"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,8,"2,414"
,Allegheny Portage Railroad NHS,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2019,9,"2,298"
