,,,,,,,,,,,,,,,,,,
,Park,Unit Code,Park Type,Region,State,Year,Month,Recreation Visits,Non-Recreation Visits,Recreation Hours,Non-Recreation Hours,"Concessioner
Lodging","Concessioner
Camping",Tent Campers,RV Campers,Backcountry Campers,Non-Recreation Overnight Stays,Misc. Overnight Stays
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,11,18,0,9,0,0,0,0,0,0,0,0
,Gates of the Arctic NP & PRES,GAAR,National Park,Alaska,AK,2016,12,120,0,60,0,0,0,0,0,0,0,0
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,1,173,0,"2,796",0,0,0,0,0,22,0,70
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,2,173,16,"2,796",16,0,0,0,0,22,160,70
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,3,173,5,"2,796",5,0,0,0,0,22,25,70
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,4,"2,505",18,"34,684",18,0,0,0,0,48,190,247
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,5,"80,664",102,"990,679",102,458,0,80,0,516,"1,080",430
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,6,"115,336",124,"1,514,572",124,"3,364",0,215,0,"1,009","1,415","4,387"
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,7,"115,207",121,"1,577,436",121,"4,651",0,346,0,"2,055","1,480","4,760"
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,8,"120,251",118,"1,554,684",118,"2,543",0,248,0,"1,534","1,430","3,399"
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,9,"84,965",62,"1,033,368",62,0,0,19,0,670,690,646
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,10,350,15,"7,208",15,0,0,0,0,195,105,70
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,11,201,15,"3,412",15,0,0,0,0,46,130,70
,Glacier Bay NP & PRES,GLBA,National Park,Alaska,AK,2016,12,173,4,"2,796",4,0,0,0,0,22,40,70
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,1,100,0,0,0,0,0,0,0,0,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,2,100,0,0,0,0,0,0,0,0,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,3,100,0,0,0,0,0,0,0,0,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,4,100,0,0,0,0,0,0,0,0,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,5,100,0,0,0,0,0,0,0,0,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,6,"5,140",0,"43,343",0,"1,034",0,200,0,129,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,7,"16,676",0,"118,665",0,"1,454",0,"1,595",0,181,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,8,"10,222",0,"43,733",0,994,0,303,0,143,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,9,"4,980",0,"27,548",0,734,0,0,0,30,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,10,100,0,0,0,0,0,0,0,0,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,11,100,0,0,0,0,0,0,0,0,0,0
,Katmai NP & PRES,KATM,National Park,Alaska,AK,2016,12,100,0,0,0,0,0,0,0,0,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,1,5,0,177,0,0,0,0,0,8,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,2,18,0,528,0,0,0,0,0,24,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,3,17,0,616,0,0,0,0,0,28,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,4,281,0,"1,023",0,0,0,0,0,22,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,5,"26,326",0,"60,041",0,0,0,86,0,18,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,6,"79,499",0,"276,493",0,0,0,364,0,136,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,7,"107,851",0,"374,253",0,0,0,490,0,180,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,8,"90,335",0,"313,286",0,0,0,398,0,180,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,9,"37,921",0,"123,440",0,0,0,176,0,0,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,10,"4,180",0,"8,480",0,0,0,0,0,0,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,11,39,0,467,0,0,0,0,0,20,0,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2016,12,62,0,758,0,0,0,0,0,32,0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,1,0,0,0,0,0,0,0,0,0,0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,2,40,0,40,0,0,0,0,0,0,0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,3,54,0,434,0,0,0,10,0,0,0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,4,83,0,617,0,0,0,13,0,0,0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,5,"127,974",0,"498,709",0,0,0,364,0,0,0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,6,"219,057",0,"874,457",0,0,0,302,0,687,0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,7,"221,231",0,"906,957",0,0,0,438,0,"2,284",0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,8,"224,793",0,"938,123",0,0,0,784,0,"2,090",0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,9,"119,091",0,"461,599",0,0,0,538,0,0,0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,10,28,0,803,0,0,0,0,0,0,0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,11,0,0,0,0,0,0,0,0,0,0,0
,Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2016,12,0,0,0,0,0,0,0,0,0,0,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,1,"1,400",700,"4,400",700,0,0,0,0,450,500,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,2,800,400,"2,750",400,0,0,0,0,400,400,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,3,900,450,"3,000",450,0,0,0,0,425,500,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,4,900,450,"3,000",450,0,0,0,0,425,500,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,5,900,450,"2,850",450,0,0,0,0,425,600,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,6,"1,200",600,"4,050",600,0,0,0,0,575,800,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,7,"1,500",750,"5,100",750,0,0,0,0,725,800,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,8,"1,600",800,"5,350",800,0,0,0,0,750,400,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,9,"1,600",800,"5,350",800,0,0,0,0,750,400,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,10,"1,800",900,"6,150",900,0,0,0,0,750,750,0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,11,"1,500",750,"4,500",750,0,0,0,0,700,"1,000",0
,Kobuk Valley NP,KOVA,National Park,Alaska,AK,2016,12,"1,400",700,"4,400",700,0,0,0,0,675,450,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,1,147,0,558,0,0,0,0,0,12,0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,2,203,0,868,0,0,0,0,0,21,0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,3,309,0,"1,168",0,0,0,0,0,25,0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,4,298,0,"1,036",0,0,0,0,0,20,0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,5,596,0,"2,908",0,0,0,0,0,78,0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,6,"3,647",0,"31,362",0,0,0,0,0,"1,094",0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,7,"5,982",0,"55,766",0,0,0,0,0,"1,991",0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,8,"6,188",0,"60,754",0,0,0,0,0,"2,199",0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,9,"2,989",0,"27,780",0,0,0,0,0,991,0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,10,301,0,"1,394",0,0,0,0,0,36,0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,11,227,0,608,0,0,0,0,0,7,0,0
,Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2016,12,215,0,694,0,0,0,0,0,12,0,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,1,"1,200",600,"13,200",600,0,0,0,0,350,300,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,2,"1,000",500,"13,750",500,0,0,0,0,350,400,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,3,900,450,"11,400",450,0,0,0,0,400,450,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,4,"1,000",500,"13,000",500,0,0,0,0,500,500,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,5,"1,100",550,"13,850",550,0,0,0,0,550,600,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,6,"1,200",600,"15,450",600,0,0,0,0,600,600,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,7,"1,500",750,"19,500",750,0,0,0,0,600,600,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,8,"1,500",750,"18,750",750,0,0,0,0,400,450,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,9,"1,600",800,"20,350",800,0,0,0,0,500,450,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,10,"1,600",800,"20,350",800,0,0,0,0,350,400,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,11,"2,600","1,300","34,100","1,300",0,0,0,0,600,600,0
,Noatak NPRES,NOAT,National Preserve,Alaska,AK,2016,12,"1,800",900,"21,300",900,0,0,0,0,300,300,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,1,"4,684",0,"3,126",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,2,"6,099",0,"4,071",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,3,"9,177",0,"6,115",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,4,"41,865",0,"27,564",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,5,"25,534",0,"15,316",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,6,"32,543",0,"19,403",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,7,"35,323",0,"21,120",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,8,"28,701",0,"17,131",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,9,"17,547",0,"10,505",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,10,"9,364",0,"6,244",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,11,"3,278",0,"2,188",0,0,0,0,0,0,0,0
,Sitka NHP,SITK,National Historical Park,Alaska,AK,2016,12,"3,026",0,"2,019",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,1,25,0,"1,150",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,2,95,0,"4,370",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,3,230,0,"10,580",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,4,520,0,"23,920",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,5,"4,706",0,"216,496",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,6,"16,481",0,"758,130",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,7,"25,520",0,"1,173,929",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,8,"23,142",0,"1,064,536",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,9,"7,703",0,"354,356",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,10,530,0,"24,380",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,11,60,0,"2,760",0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2016,12,35,0,"1,610",0,0,0,0,0,0,0,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,1,0,0,"1,680",0,0,0,0,0,70,0,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,2,29,0,"3,874",0,0,0,0,0,159,60,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,3,0,0,0,0,0,0,0,0,0,0,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,4,0,0,0,0,0,0,0,0,0,0,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,5,13,0,26,0,0,0,0,0,0,0,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,6,321,0,"9,378",0,0,0,0,0,364,0,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,7,390,0,"27,804",0,0,0,0,0,"1,126",0,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,8,265,0,"16,658",0,0,0,0,0,672,40,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,9,116,0,"15,856",0,0,0,0,0,651,325,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,10,0,0,504,0,0,0,0,0,21,15,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,11,0,0,0,0,0,0,0,0,0,0,0
,Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2016,12,12,0,24,0,0,0,0,0,0,0,0
