,,,,,,,,
,Park,Unit Code,Park Type,Region,Traffic Counter,Year,Month,Traffic Count
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,1,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,2,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,3,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,4,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,5,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,6,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,7,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,8,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,9,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,10,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,11,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2018,12,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,1,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,2,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,3,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,4,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,5,"5,057"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,6,"12,831"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,7,"17,097"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,8,"15,173"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,9,"7,287"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,10,"1,086"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,11,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2018,12,0
